Season,time,P
Autumn,0,0.0
Autumn,1,0.0
Autumn,10,7.012262637362637
Autumn,11,7.504331868131867
Autumn,12,7.04817032967033
Autumn,13,6.341568131868132
Autumn,14,4.8528741758241765
Autumn,15,2.394598351648352
Autumn,16,0.7385967032967032
Autumn,17,0.0520714285714285
Autumn,18,0.0
Autumn,19,0.0
Autumn,2,0.0
Autumn,20,0.0
Autumn,21,0.0
Autumn,22,0.0
Autumn,23,0.0
Autumn,3,0.0
Autumn,4,0.0
Autumn,5,0.0009296703296703
Autumn,6,0.2935087912087912
Autumn,7,2.1091005494505493
Autumn,8,4.382238461538462
Autumn,9,6.169076373626374
Spring,0,0.0
Spring,1,0.0
Spring,10,8.691507065217392
Spring,11,9.12930652173913
Spring,12,8.858897282608696
Spring,13,7.9350375
Spring,14,6.626871195652174
Spring,15,4.792917391304348
Spring,16,2.4858896739130434
Spring,17,0.4541836956521739
Spring,18,0.0485233695652173
Spring,19,0.0
Spring,2,0.0
Spring,20,0.0
Spring,21,0.0
Spring,22,0.0
Spring,23,0.0
Spring,3,0.0
Spring,4,0.0
Spring,5,0.1596472826086956
Spring,6,1.0040429347826088
Spring,7,3.146641304347826
Spring,8,5.520440217391304
Spring,9,7.441575
Summer,0,0.0
Summer,1,0.0
Summer,10,8.545416847826088
Summer,11,9.26771902173913
Summer,12,8.840166847826087
Summer,13,8.142471195652174
Summer,14,6.916581521739131
Summer,15,5.01075
Summer,16,2.963360869565218
Summer,17,1.0412967391304349
Summer,18,0.2468119565217391
Summer,19,0.0
Summer,2,0.0
Summer,20,0.0
Summer,21,0.0
Summer,22,0.0
Summer,23,0.0
Summer,3,0.0
Summer,4,0.0132668478260869
Summer,5,0.387291847826087
Summer,6,1.565541847826087
Summer,7,3.774288586956522
Summer,8,5.9684673913043484
Summer,9,7.58359402173913
Winter,0,0.0
Winter,1,0.0
Winter,10,5.860255
Winter,11,6.6598283333333335
Winter,12,6.487091666666667
Winter,13,6.304316666666667
Winter,14,4.907726666666667
Winter,15,2.00859
Winter,16,0.10653
Winter,17,0.0
Winter,18,0.0
Winter,19,0.0
Winter,2,0.0
Winter,20,0.0
Winter,21,0.0
Winter,22,0.0
Winter,23,0.0
Winter,3,0.0
Winter,4,0.0
Winter,5,0.0
Winter,6,0.0
Winter,7,0.174855
Winter,8,2.985105
Winter,9,4.869105
